Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2022-07-01,-0.021039554842574863,2617,-0.02083117089114385,-0.021040421342734476
2022-07-04,-0.030577115329238735,2589,-0.02905627695603786,-0.030586682434348898
2022-07-05,-0.025406355199905736,2671,-0.025305012142544405,-0.02540959785134274
2022-07-06,-0.019355424870541076,2613,-0.019207566823413968,-0.019364607819458212
2022-07-07,-0.022196257203669207,2653,-0.022379886288356573,-0.022218361301488507
2022-07-08,-0.021510051045604724,2638,-0.020347915401623513,-0.021512297658149562
2022-07-11,-0.02529993299800761,2694,-0.023707203233925892,-0.025307507776634888
2022-07-12,-0.028508454720592134,2601,-0.02810732248144741,-0.028497682861680203
2022-07-13,-0.01752498540796513,2669,-0.01768370302296949,-0.017537400765891355
2022-07-14,-0.0191102969288194,2641,-0.017609375802150922,-0.019107865403781316
2022-07-15,-0.017464989061358543,2657,-0.015604605668109183,-0.017478201473881242
2022-07-18,-0.01287126675492384,2662,-0.011776570296144751,-0.012896832621130248
2022-07-19,-0.01806979134191616,2691,-0.017293641600959156,-0.018070646789968954
2022-07-20,-0.017516355206602233,2666,-0.01755266675893266,-0.017536950891225752
2022-07-21,-0.006511134446893559,2706,-0.005291139901760027,-0.006511704215415417
2022-07-22,-0.002811292811488998,2650,-0.003293355905676634,-0.0028226898822619703
2022-07-25,-0.01744242458826622,2638,-0.01787470379437905,-0.01745504234742258
2022-07-26,-0.011173606775924235,2638,-0.011049735648593361,-0.011184837379992188
2022-07-27,-0.008523603166805463,2673,-0.008112936939784595,-0.008522109287703491
2022-07-28,-0.01956263810068021,2682,-0.018563482464820733,-0.019566716639144756
2022-07-29,-0.0027426308872077303,2679,-0.002811772459454242,-0.002751328068743274
2022-08-01,-0.023121160128389887,2668,-0.023035348209747977,-0.02313137602242684
2022-08-02,-0.03155884222827686,2675,-0.030278758876682486,-0.03158562712438191
2022-08-03,-0.022995702980721844,2685,-0.02302486914302862,-0.022999804877155593
2022-08-04,-0.03326090110476282,2724,-0.03423671513797873,-0.03327841201746267
2022-08-05,-0.020455840504228263,2653,-0.02081571165658331,-0.02046675897721173
2022-08-08,-0.020463801486006614,2709,-0.020161145380973716,-0.020471287906716398
2022-08-09,-0.004236534465679469,2666,-0.0042408971546104585,-0.004253259655022648
2022-08-10,-0.017717568504181137,2639,-0.016682015334191003,-0.017721537779039
2022-08-11,-0.009089846074177862,2684,-0.008011017359381372,-0.009091100624363203
2022-08-12,-0.00969450749398732,2629,-0.00902924743807916,-0.009726836294020266
2022-08-15,-0.009144518340939352,2678,-0.00851209600137813,-0.009169395417904107
2022-08-16,-0.012808828937727517,2716,-0.011317783880875275,-0.012812825692859277
2022-08-17,-0.019276341721749468,2698,-0.018460813956494005,-0.019276237738155885
2022-08-18,-0.011572601903543226,2656,-0.010771505621837837,-0.01157904756290011
2022-08-19,-0.006764393126919157,2665,-0.0078055274762473805,-0.00678618879135325
2022-08-22,-0.02476569866779346,2638,-0.023633343795080877,-0.024765415569075282
2022-08-23,-0.022866075562776707,2660,-0.01999232135173413,-0.02285574278527428
2022-08-24,-0.014639613342655525,2663,-0.014106830850981593,-0.014633321342138924
2022-08-25,-0.013128714914783512,2676,-0.012207600879242048,-0.013123766757738678
2022-08-26,-0.014710097322629186,2666,-0.012606168860088997,-0.014703227999956497
2022-08-29,-0.027120836465378315,2616,-0.02557542503169548,-0.02712045285076746
2022-08-30,-0.016117460430119034,2699,-0.015712899364965106,-0.01612105026025159
2022-08-31,-0.014965361384286037,2732,-0.012748169398003011,-0.014966324286415833
